,Type,Metal,Ligand,Synthesis method,Solvent,Physical state,Oxidation number,Reaction Time (h),SSA (m2/g),Pore size (nm),pore volume (cm3/g),CO2 adsorption capacity (mmol/g),CO2 selectivity percentage,Adsorption Temp (K),Adsorption pressure (bar),filename,Group,SuperGroup,0,1,unit,mean
32,HKUST-1,Cu,H3BTC,electrophoretic deposition,DMSO/MeOH,thin film,2.0,10.0,,0.69,,,,,,016.pdf,HKUST-1,HKUST,,,,
33,ZIF-8,Zn,2-methylimidazole,electrophoretic deposition,H2O,thin film,2.0,10.0,,,,,,,,016.pdf,ZIF-8,ZIF,,,,
34,ZIF-8,Zn,2-MeIm,indirect bipolar electrodeposition (ibed),H2Osolution,solid,2.0,60.0,,,,,,,,017.pdf,ZIF-8,ZIF,,,,
35,HKUST-1,Cu,H3BTC,indirect bipolar electrodeposition (ibed),EtOH,solid,2.0,60.0,,,,,,,,017.pdf,HKUST-1,HKUST,,,,
36,UiO-66,Zr,H2BDC,electrochemical film deposition,DMF,solid,4.0,30.0,,,,,,,,018.pdf,UiO-66,UiO,,,,
37,HKUST-1,Cu,btc (H3BTC,spray-drying,DMF/EtOH/H2O,powder,0.0,2.0,1209.0,,,,,,,019.pdf,HKUST-1,HKUST,,,,
38,Cu-bdc,Cu,H2BDC (H2BDC,spray-drying,DMF,,0.0,,,,,,,,,019.pdf,Cu-BDC,Metal/BDC,,,,
39,NOTT-100,Cu,"bptc (3,3′,5,5′-biphenyl-tetracarboxylic acid)",spray-drying,DMF,,0.0,,,,,,,,,019.pdf,NOTT-100,NOTT,,,,
40,MIL-88A,Fe,fumarate,spray-drying,H2O,,3.0,,,,,,,,,019.pdf,MIL-88A,MIL,,,,
41,MIL-88B,Fe,NH2-BDC,spray-drying,H2O,,3.0,,,,,,,,,019.pdf,MIL-88B,MIL,,,,
42,MOF-14,Cu,"btb (4,4′,4′′-benzene-1,3,5-triyl-tribenzoic acid)",spray-drying,DMF,,0.0,,,,,,,,,019.pdf,MOF-14,MOF,,,,
43,MOF-74,"Zn, Ni, Mg","dhBDC (2,5-dihydroxy-H2BDC",spray-drying,DMF,,2.0,,,,,,,,,019.pdf,MOF-74,MOF,,,,
44,UiO-66,Zr,H2BDC,spray-drying,DMF,,4.0,,,,,,,,,019.pdf,UiO-66,UiO,,,,
45,ZIF-8,Zn,Me-IM (2-methylimidazolate),spray-drying,DMF,,2.0,,,,,,,,,019.pdf,ZIF-8,ZIF,,,,
46,Cu-PB,"Cu, Fe",,spray-drying,,,2.0,,,,,,,,,019.pdf,Cu-PB,Cu-PB,,,,
47,IRMOF-3,Zn,NH2-BDC,spray-drying,DMF,,2.0,,,,,,,,,019.pdf,IRMOF-3,IRMOF,,,,
48,UiO-66,Zr,H2BDC,spray-drying continuous flow,DMF/H2O,microspherical beads,4.0,63.0,1106.0,,,,,,,020.pdf,UiO-66,UiO,,,,
49,Fe-BTC/MIL-100,Fe,H3BTC,spray-drying continuous flow,DMF,microspherical beads,3.0,,1039.0,,,,,,,020.pdf,MIL-100,MIL,,,,
50,[Ni8(OH)4(H2O)2(L)6]n,Ni,1H-pyrazole-4-carboxylic acid,spray-drying continuous flow,DMF/H2O,microspherical beads,2.0,,377.0,,,,,,,020.pdf,[Ni8(OH)4(H2O)2(L)6]n,[Ni8(OH)4(H2O)2(L)6]n,,,,
51,SIFSIX-3-Co,Co,pyz,spray-drying,MeOH,,,,,,,2.56,,298.0,1.0132472,021.pdf,SIFSIX-3,SIFSIX,,,,
52,SIFSIX-3-Cu,Cu,pyz,spray-drying,MeOH,,,,,,,2.23,,298.0,1.0132472,021.pdf,SIFSIX-3,SIFSIX,,,,
53,SIFSIX-3-Zn,Zn,pyz,spray-drying,MeOH,,,,,,,2.27,,298.0,1.0132472,021.pdf,SIFSIX-3,SIFSIX,,,,
54,SIFSIX-1-Zn,Zn,bpy,spray-drying,MeOH,,,,1300.0,,,,,,,021.pdf,SIFSIX-1,SIFSIX,,,,
55,TIFSIX-1-Cu,Cu,bpy,spray-drying,MeOH,,,,1650.0,,0.66,,,,,021.pdf,TIFSIX-1-Cu,TIFSIX-1-Cu,,,cm3,
56,MPM-1-TIFSIX,Cu,adenine,spray-drying,MeOH,,,,805.0,,0.32,,,,,021.pdf,MPM-1-TIFSIX,MPM-1-TIFSIX,,,cm3,
57,Zn-ZIF-67,"Zn, Co",2-methylimidazole,hydrothermal,UltrapureH2O,solid,,24.0,1881.0,1.58,0.63,1.8662443115909697,99.0,,7.0,022.pdf,ZIF-67,ZIF,,,,
58,ZIF-8,Zn,2-methylimidazole,reflux in methanol,MeOH,solid,,4.0,1173.0,1.16,,,,,,023.pdf,ZIF-8,ZIF,,,,
59,Amine-functionalized ZIF-8,Zn,2-methylimidazole,reflux in toluene,Toluene,solid,,20.0,1096.0,,,,,,,023.pdf,ZIF-8,ZIF,,,,
60,ZIF-8/CN foam,Zn,2-methylimidazole,growth on carbon nitride (cn) foam,MeOH,composite,,6.0,211.0,17.5,,,100.0,353.0,10.0,024.pdf,ZIF-8,ZIF,,,,
61,RH Au/Zn-MOF,"Au, Zn",2-methylimidazole,cation exchange,MeOH,nanocage,3.0,8.0,1129.0,,,,,,,025.pdf,RH Au/Zn-MOF,MOF,,,,
62,RD Au/Zn-MOF,"Au, Zn",2-methylimidazole,cation exchange,MeOH,nanocage,3.0,8.0,1129.0,,,,,,,025.pdf,RD Au/Zn-MOF,MOF,,,,
63,ZIF-8,Zn,2-methylimidazole,pyrolysis,MeOH,solid,0.0,24.0,1413.0,1.16,,0.6134969325153374,,273.0,1.0,026.pdf,ZIF-8,ZIF,,,,
64,ZnO@NPC-Ox-700,Zn,hydroxyl and carboxyl groups,pyrolysis and oxidation,acetonitrile,solid,,2.0,113.5,,,0.6134969325153374,100.0,273.0,1.0,026.pdf,ZnO@NPC-Ox-700,ZnO@NPC-Ox-700,,,,
65,ZIF-68,Zn,2-nitroimidazole and benzimidazole,hydrothermal,DMF,solid,,12.0,,1.03,,,99.0,,,027.pdf,ZIF-68,ZIF,,,,
66,F-ZIF-90,Zn,imidazolate,solvothermal + post-functionalization,DMF,solid,2.0,18.0,763.0,,,,,393.0,11.7,028.pdf,ZIF-90,ZIF,,,,
67,ZIF-95,Zn,5-chlorobenzimidazole,solvothermal,DMF,solid,,2.0,1170.0,0.46,0.41,,99.0,,,029.pdf,ZIF-95,ZIF,,,,
68,ZIF-67,Co,2-methylimidazole,simple and straightforward,MeOH,solid,2.0,24.0,10400.0,9.8,,,,,,030.pdf,ZIF-67,ZIF,,,,
69,MOF-5,Zn,H2BDC,co-polymerization,DMF,solid,2.0,4.0,,,,,,,,031.pdf,MOF-5,MOF,,,,
70,JUC-1000,Cu,"2,4-bis(3,5-dicarboxyphenylamino)-6-ol triazine (H4BDPO)",reacting the ligand with copper nitrate,DMF,microporous,,,1221.0,0.73,,5.576871598108325,,273.0,1.01325,032.pdf,JUC-1000,JUC-1000,,,,
71,ZnMOF-1,Zn,4-pyridyl carboxaldehyde isonicotinoylhydrazone (L1),green mechanochemical synthesis,,solid,2.0,8.0,,,,10.76,,666.0,,033.pdf,MOF-1,MOF,,,,
72,ZnMOF-2,Zn,3-pyridylcarboxaldehydenicotinoyl hydrazine (L2),green mechanochemical synthesis,,solid,2.0,8.0,,,,7.39,,648.0,,033.pdf,MOF-2,MOF,,,,
73,MOF-Zn-1,Zn,"melamine, 2,5-thiophenedicarboxylic acid",solvothermal crystallization,DMF,solid,,72.0,1006.3,1.01,0.4,3.555813330953868,,273.0,,034.pdf,MOF-1,MOF,,,cm3,
74,ZnMOF-1-NH2,Zn,[Zn2(ATA)2]n,green mechanochemical synthesis,DCM,solid,,8.0,1155.0,,,1.4181,,273.0,9.9,035.pdf,MOF-1,MOF,,,,
75,[Zn(DCTP)]·4.2H2O,Zn,H2DCTP,solvothermal,DMF,colorless block crystals,2.0,96.0,,1.25,,2.989203176586062,,273.0,,036.pdf,[Zn(DCTP)]·4.2H2O,[Zn(DCTP)]·4.2H2O,,,,
76,UiO-66,Zr,H2BDC,solvothermal,DMF,microcrystalline,4.0,12.0,1665.0,0.65,,,,,,037.pdf,UiO-66,UiO,,,,
77,UiO-66-OH,Zr,H2BDC-OH,solvothermal,DMF,microcrystalline,4.0,2.0,1345.0,0.52,,,,,,037.pdf,UiO-66,UiO,,,,
78,UiO-66-NH2,Zr,NH2-BDC,solvothermal,DMF,microcrystalline,4.0,2.0,1468.0,,,,,,,037.pdf,UiO-66,UiO,,,,
79,UiO-66-NO2,Zr,H2BDC-NO2,solvothermal,DMF,microcrystalline,4.0,2.0,899.0,,,,,,,037.pdf,UiO-66,UiO,,,,
80,UiO-66-Cl,Zr,H2BDC-Cl,solvothermal,DMF,microcrystalline,4.0,2.0,1240.0,,,,,,,037.pdf,UiO-66,UiO,,,,
81,UiO-66-Br,Zr,H2BDC-Br,solvothermal,DMF,microcrystalline,4.0,2.0,1029.0,,,,,,,037.pdf,UiO-66,UiO,,,,
82,UiO-66-(OH)2,Zr,H2BDC-(OH)2,solvothermal,DMF,microcrystalline,4.0,2.0,501.0,,,,,,,037.pdf,UiO-66,UiO,,,,
83,UiO-66-naphthyl,Zr,H2BDC-naphthyl,solvothermal,DMF,microcrystalline,4.0,2.0,412.0,,,,,,,037.pdf,UiO-66,UiO,,,,
84,UiO-66-IL-Br,Zr,,solvothermal,DMF,nanoscale particless,4.0,24.0,663.7,,0.38,0.9734987061657892,,298.0,1.01325,038.pdf,UiO-66,UiO,,,cm3,
85,UiO-66-IL-ClO4,Zr,,ion exchange,DMF,nanoscale particless,4.0,24.0,588.52,,0.38,1.3848487552422593,,298.0,1.01325,038.pdf,UiO-66,UiO,,,cm3,
86,UiO-66-IL-PF6,Zr,,ion exchange,,nanoscale particless,4.0,,608.21,,0.38,1.2929419113054341,,298.0,1.01325,038.pdf,UiO-66,UiO,,,cm3,
87,UiO-67-IL,Zr,Imidazolium-based ligand,solvothermal assembly,DMF,crystalline,4.0,24.0,846.0,,0.43,0.9993753903810118,,298.0,1.01325,039.pdf,UiO-67,UiO,,,cm3,
88,MIL-101-SO3H,Cr,,self-assembly,H2O,solid,,6.0,1458.0,,,,,,,040.pdf,MIL-101,MIL,,,,
89,IL@MIL-101-SO3H,Cr,[2-aemim][Br],self-assembly,H2O,solid,,48.0,1049.0,,,,,,1.01325,040.pdf,MIL-101,MIL,,,,
90,{[Co(µ3-L)(H2O)]·0.5H2O}n,Co,"H2L = thiazolidine 2,4-dicarboxylic acid",refluxing,DMF,powder,,36.0,,0.83,,,,,,041.pdf,{[Co(µ3-L)(H2O)]·0.5H2O}n,{[Co(µ3-L)(H2O)]·0.5H2O}n,,,,
91,N1,Co,,using polyvinylpyrrolidone (pvp) as surfactant,,nanocrystal,,,,,,,,,,041.pdf,N1,N1,,,,
92,N2,Co,,using hexadecyltrimethyl ammonium bromide (ctab) as surfactant,,nanocrystal,,,,,,,,,,041.pdf,N2,N2,,,,
93,CZ-ZIF,"Co, Zn",2-methylimidazole,simple aqueous method,H2O,solid,,2.0,1400.0,,0.63,,94.0,,7.0,042.pdf,CZ-ZIF,ZIF,,,,
94,Mg-MOF-74(S),Mg,H4dhtp,sonochemical,DMF/EtOH/H2O,solid,2.0,60.0,1690.0,1.1,,7.952738014087708,,298.0,1.013,043.pdf,MOF-74,MOF,,,,
95,[(CH3)2NH2]6[Cd3L(H2O)2]·12H2O,Cd,H12L (resorcin[4]arene-functionalized dodecacarboxylic acid),solvothermal assembly,H2O/Dimethylformamide(DMF),microporous solid,,6.0,,0.54,,,,,,044.pdf,[(CH3)2NH2]6[Cd3L(H2O)2]·12H2O,[(CH3)2NH2]6[Cd3L(H2O)2]·12H2O,,,,
96,[Co2L0.5V4O12]·3DMF ·5H2O,"Co, V",Resorcin[4]arene ligand,solvothermal,DMF/H2O,solid,,3.0,,0.96,,,,,,045.pdf,[Co2L0.5V4O12]·3DMF ·5H2O,[Co2L0.5V4O12]·3DMF ·5H2O,,,,
97,nan,,,,acetone,,,4.0,,,,,,,,046.pdf,nan,,,,,
98,UMCM-15,Zn,"[H2-BDC, H2-NDC, 4,4'-bipy]",microwave-assisted,EtOH/H2O,solid,,15.0,815.0,0.92,0.32,55.0,99.0,293.0,12.0,047.pdf,UMCM-15,UMCM,,,cm3,
99,UMCM-15(S),Zn,"[H2-BDC, H2-NDC, 4,4'-bipy]",solvothermal,DMF,solid,,32.0,,,,,99.0,,,047.pdf,UMCM-15(S),UMCM,,,,
100,zinc-glutamate-MOF (ZnGlu),Zn,L-glutamic acid,aqueous,H2O,single crystals and bulk,,6.0,8.3,,,,99.0,25.0,12.0,048.pdf,zinc-glutamate-MOF (ZnGlu),MOF,,,,
101,{Cu(Hip)2(Bpy)}n(CHB),Cu,Bipyridyl (Bpy) and 5-hydroxyisophthalic acid (Hip),microwave-assisted synthesis,H2O,solid,,6.0,0.4,,,,90.3,,,049.pdf,{Cu(Hip)2(Bpy)}n(CHB),{Cu(Hip)2(Bpy)}n(CHB),,,,
102,CHB(S),Cu,Bipyridyl (Bpy) and 5-hydroxyisophthalic acid (Hip),hydrothermal,H2O,solid,,48.0,1.3,,,,,,,049.pdf,CHB(S),CHB(S),,,,
103,CMOF 1,"Cd, Ni",eight Ni-L ligands,solvothermal,DMF/EtOH/H2O,brown block-like crystals,2.0,96.0,365.4,1.1,0.14,1.7221379494958509,,273.0,1.01325,050.pdf,CMOF-1,CMOF,,,,
104,UMCM-1-NH2,Zn,"1,3,5-Tris(4-carboxyphenyl)benzene, NH2-BDC",solvothermal,DMF,solid,,72.0,4200.0,1.4,2.4,53.0,99.0,,,051.pdf,UMCM-1-NH2,UMCM,,,cm3,
105,gea-MOF-1,Y,H3BTB,solvothermal,DMF/H2O,solid,3.0,36.0,1490.0,0.32,0.58,,,,,052.pdf,MOF-1,MOF,,,cm3,
106,gea-MOF-2,Cu,H6L,solvothermal,DMF,solid,2.0,7.0,,,2.76,,,,,052.pdf,gea-MOF-2,MOF,,,cm3,
107,CdPDIA,Cd,PDIA2-,heating,DMF/H2O,solid,,3.0,,,,,,,,053.pdf,CdPDIA,CdPDIA,,,,
108,RE-BDC,"RE (Y, Tb, Er)",H2BDC,hydrothermal,DMF/H2O,crystal,,12.0,,,,,,,,054.pdf,RE-BDC,Metal/BDC,,,,
109,RE-NDC,"RE (Y, Tb, Er)",NDC,hydrothermal,DMF/H2O,crystal,,12.0,,,,,,,,054.pdf,RE-NDC,RE-NDC,,,,
110,MOF 1,Sm,H3BTB,solvothermal,DMF/H2O,solid,3.0,72.0,946.74,1.02,,9.12,,195.0,1.01325,055.pdf,MOF-1,MOF,,,,
111,MOF 2,Gd,H3BTB,solvothermal,DMF/H2O,solid,3.0,72.0,834.26,1.02,,8.89,,195.0,1.01325,055.pdf,MOF-2,MOF,,,,
112,Gd-MOF,Gd,PMDA,solvothermal,DMF,solid,,12.0,235.7,3.6,0.24,,,,,056.pdf,Gd-MOF,MOF,,,,
113,1-Gd,Gd,"1,1'-cyclopropane-dicarboxylic acid (H2CDA)",solvothermal,DMF/H2O,colorless block single crystals,3.0,3.0,,1.82,,,,,,057.pdf,1-Gd,1-Gd,,,,
114,2-Dy,Dy,"1,1'-cyclopropane-dicarboxylic acid (H2CDA)",solvothermal,DMF/H2O,colorless block single crystals,3.0,3.0,,1.82,,,,,,057.pdf,2-Dy,2-Dy,,,,
115,[TbZn(BPDC)2(µ2H2O)Cl(H2O)3]·5H2O·0.5DMA,"Tb, Zn",H2BPDC,solvothermal,DMA/H2O,solid,3.0,3.0,,0.6,,1.115374319621665,,298.0,1.01325,058.pdf,[TbZn(BPDC)2(µ2H2O)Cl(H2O)3]·5H2O·0.5DMA,[TbZn(BPDC)2(µ2H2O)Cl(H2O)3]·5H2O·0.5DMA,,,,
116,[TbCo(BPDC)2(µ2H2O)Cl(H2O)3]·8H2O·0.5DMA,"Tb, Co",H2BPDC,solvothermal,DMA/H2O,solid,3.0,3.0,,,,,,,,058.pdf,[TbCo(BPDC)2(µ2H2O)Cl(H2O)3]·8H2O·0.5DMA,[TbCo(BPDC)2(µ2H2O)Cl(H2O)3]·8H2O·0.5DMA,,,,
117,UTSA-16,Co,citric acid (C6H8O7),hydrothermal reaction,H2O/C2H5OH,solid,2.0,2.0,,0.33,,7.1383956455786555,,296.0,1.0,059.pdf,UTSA-16,UTSA,,,,
118,{[Zn(L)]·2DMF·2H2O}n(1),Zn,5-(1H-imidazol-1-yl)isophthalic acid (H2L),solvothermal,DMF,porous neutral framework,2.0,72.0,215.0,1.2,,58.0,,273.0,1.0,060.pdf,{[Zn(L)]·2DMF·2H2O}n(1),{[Zn(L)]·2DMF·2H2O}n(1),,,,
119,{[(CH3)2NH2][Zn2(L)(H2O)PO4]·2DMF}n(2),Zn,5-(1H-imidazol-1-yl)isophthalic acid (H2L),solvothermal,DMF,organo-metallophosphate anionic framework,,72.0,750.0,1.5,,,22.0,273.0,1.0,060.pdf,{[(CH3)2NH2][Zn2(L)(H2O)PO4]·2DMF}n(2),{[(CH3)2NH2][Zn2(L)(H2O)PO4]·2DMF}n(2),,,,
120,{Cu2[(C20H12N2O2)(COO)4]}n,Cu,"bis(3,5-dicarboxyphenyl)isophthalamide (H4L1)",solvothermal assembly,,3d porous framework,,,2878.9,0.87,,7.2365485857053615,,273.0,1.01325,061.pdf,{Cu2[(C20H12N2O2)(COO)4]}n,{Cu2[(C20H12N2O2)(COO)4]}n,,,,
121,{[Sr(BDPO)0.5(H2O)]/C12H2O}n(1),Sr,"N,N'-bis(isophthalic acid)-oxalamide (H4BDPO)",solvothermal,DMA/H2O,solid,2.0,,621.0,0.76,,3.0472026412063884,,273.0,1.01325,062.pdf,{[Sr(BDPO)0.5(H2O)]/C12H2O}n(1),{[Sr(BDPO)0.5(H2O)]/C12H2O}n(1),,,,
122,Ba-MOF,Ba,"N,N′-bis(isophthalic acid)-oxalamide (H4BDPO)",solvothermal,DMA/H2O,colorless block-shaped crystals,2.0,48.0,487.0,0.82,,6.0096368341215305,,273.0,1.01325,063.pdf,Ba-MOF,MOF,,,,
123,Cu4[(C57H32N12)(COO)8],Cu,octacarboxylate,solvothermal assembly,dichloromethane,solid,,,2436.0,0.79,,7.17408762380655,,273.0,1.01325,064.pdf,Cu4[(C57H32N12)(COO)8],Cu4[(C57H32N12)(COO)8],,,,
124,Fe3O4,Fe,,co-precipitation,H2O,solid,,,,7.0,,,,,,065.pdf,Fe3O4,Fe3O4,,,,
125,nan,,,,,,,,,,,,,,,065.pdf,nan,,,,,
126,UMCM-15,Zn,"[H2-BDC, H2-NDC, 4,4'-bipy]",microwave-assisted synthesis,EtOH/H2O,solid,,15.0,815.0,0.92,0.32,55.0,99.0,293.0,12.0,066.pdf,UMCM-15,UMCM,,,,
127,{[(CH3)2NH2+]2[Zn3((μ3-O))(L)2(H2O)] ·4DMF ·2H2O}n(1),Zn,tricarboxylate (H3L),solvothermal,DMF/EtOH/H2O,crystalline,2.0,72.0,318.0,1.17,,3.015972160256982,,273.0,,067.pdf,{[(CH3)2NH2+]2[Zn3((μ3-O))(L)2(H2O)] ·4DMF ·2H2O}n(1),{[(CH3)2NH2+]2[Zn3((μ3-O))(L)2(H2O)] ·4DMF ·2H2O}n(1),,,,
128,MOF 1,Mn,"5,10,15,20-tetrakis(4-benzoate) porphyrin",solvothermal treatment,DMF/H2O,crystalline,2.0,48.0,320.5,0.39,,58.76,,273.0,1.01325,068.pdf,MOF-1,MOF,,,,
129,Fe(III)@MOF 1,Fe,"5,10,15,20-tetrakis(4-benzoate) porphyrin",post-synthetic reaction with fecl3,DMF,crystalline,3.0,12.0,124.0,0.85,,,,,,068.pdf,MOF-1,MOF,,,,
130,MIL-100(Cr),Cr,H3BTC,solvothermal,none,solid,3.0,18.0,2030.0,0.51,0.96,,,,1.01325,069.pdf,MIL-100,MIL,,,,
131,MIL-101(Cr)[PTA],Cr,H2BDC,microwave synthesis,none,solid,3.0,24.0,2124.0,1.2,0.96,,,,1.01325,069.pdf,MIL-101,MIL,,,,
132,NH2-MIL-101(Al),Al,NH2-BDC,solvothermal and microwave,None,solid,,6.0,2074.0,,550.0,4.580777096114519,99.0,298.0,15.0,070.pdf,MIL-101,MIL,,,,
133,polyILs@MILT101,Cr,H2BDC,in situ polymerization,EtOH,composite,,24.0,2462.0,3.0,1.26,4.595342196841259,,273.0,1.0,071.pdf,polyILs@MILT101,MIL,,,cm3,
134,MILT101,Cr,H2BDC,solvothermal,EtOH/H2O,solid,3.0,8.0,3603.0,3.0,1.83,2.766128312661729,,298.0,1.0,072.pdf,MILT101,MIL,,,,
135,polyILs@MILT101,Cr,VEIMBr,in situ polymerization,EtOH,solid,3.0,24.0,2462.0,,1.26,4.595342196841259,,273.0,1.0,072.pdf,polyILs@MILT101,MIL,,,,
136,{[Co2(tzpa)(OH)(H2O)2]·DMF},Co,H3tzpa,hydrothermal,DMF/H2O,solid,2.0,72.0,455.0,1.04,,2.8402635764598956,,298.0,1.0,073.pdf,{[Co2(tzpa)(OH)(H2O)2]·DMF},{[Co2(tzpa)(OH)(H2O)2]·DMF},,,,
137,Eu-BTB,Eu,H3BTB,solvothermal,DMF/H2O,light yellow crystals,3.0,3.0,,1.46,,,,,,074.pdf,Eu-BTB,Eu-BTB,,,,
138,(Me2NH2)[In(SBA)2] (1),In,H2SBA,solvothermal,DMF/acetonitrile,solid,3.0,72.0,207.0,0.9,,0.8,,273.0,1.01325,075.pdf,(Me2NH2)[In(SBA)2] (1),(Me2NH2)[In(SBA)2] (1),,,,
139,(Me2NH2)[In(SBA)(BDC)] (2),In,"H2SBA, H2BDC",solvothermal,DMF/acetonitrile,solid,3.0,72.0,,,,0.78,,273.0,1.01325,075.pdf,(Me2NH2)[In(SBA)(BDC)] (2),Metal/BDC,,,,
140,(Me2NH2)[In(SBA)(BDC-NH2)] (3),In,"H2SBA, H2BDC",solvothermal,DMF/acetonitrile,solid,3.0,72.0,,,,0.37,,273.0,1.01325,075.pdf,(Me2NH2)[In(SBA)(BDC-NH2)] (3),Metal/BDC,,,,
